id,species,generation_id,height,weight,base_experience,type_1,type_2,hp,attack,defense,speed,special-attack,special-defense
778,mimikyu,7,0.2,0.7,167,ghost,fairy,55,90,80,96,50,105
779,bruxish,7,0.9,19.0,166,water,psychic,68,105,70,92,70,70
780,drampa,7,3.0,185.0,170,normal,dragon,78,60,85,36,135,91
781,dhelmise,7,3.9,210.0,181,ghost,grass,70,131,100,40,86,90
782,jangmo-o,7,0.6,29.7,60,dragon,,45,55,65,45,45,45
783,hakamo-o,7,1.2,47.0,147,dragon,fighting,55,75,90,65,65,70
784,kommo-o,7,1.6,78.2,270,dragon,fighting,75,110,125,85,100,105
785,tapu-koko,7,1.8,20.5,257,electric,fairy,70,115,85,130,95,75
786,tapu-lele,7,1.2,18.6,257,psychic,fairy,70,85,75,95,130,115
787,tapu-bulu,7,1.9,45.5,257,grass,fairy,70,130,115,75,85,95
788,tapu-fini,7,1.3,21.2,257,water,fairy,70,75,115,85,95,130
789,cosmog,7,0.2,0.1,40,psychic,,43,29,31,37,29,31
790,cosmoem,7,0.1,999.9,140,psychic,,43,29,131,37,29,131
791,solgaleo,7,3.4,230.0,306,psychic,steel,137,137,107,97,113,89
792,lunala,7,4.0,120.0,306,psychic,ghost,137,113,89,97,137,107
793,nihilego,7,1.2,55.5,257,rock,poison,109,53,47,103,127,131
794,buzzwole,7,2.4,333.6,257,bug,fighting,107,139,139,79,53,53
795,pheromosa,7,1.8,25.0,257,bug,fighting,71,137,37,151,137,37
796,xurkitree,7,3.8,100.0,257,electric,,83,89,71,83,173,71
797,celesteela,7,9.2,999.9,257,steel,flying,97,101,103,61,107,101
798,kartana,7,0.3,0.1,257,grass,steel,59,181,131,109,59,31
799,guzzlord,7,5.5,888.0,257,dark,dragon,223,101,53,43,97,53
800,necrozma,7,2.4,230.0,270,psychic,,97,107,101,79,127,89
801,magearna,7,1.0,80.5,270,steel,fairy,80,95,115,65,130,115
802,marshadow,7,0.7,22.2,270,fighting,ghost,90,125,80,125,90,90
803,poipole,7,0.6,1.8,189,poison,,67,73,67,73,73,67
804,naganadel,7,3.6,150.0,243,poison,dragon,73,73,73,121,127,73
805,stakataka,7,5.5,820.0,257,rock,steel,61,131,211,13,53,101
806,blacephalon,7,1.8,13.0,257,fire,ghost,53,127,53,107,151,79
807,zeraora,7,1.5,44.5,270,electric,,88,112,75,143,102,80
